76,Dinner at My Place,2022,"₦54,804,289[37]",Duku Pictures,Kevin Apaa
77,The Masked King,2025,"₦54,000,000",Fito Fili Films/ The 7venth Studio,Uduak Patrick
78,The Kuju's Again,2023,"₦53,538,450[38]",Temple ‘TMPL’ Motion Pictures,Biodun Stephen
79,The Set Up,2019,"₦53,305,115[20]",Anakle Films / Inkblot Production,Niyi Akinmolayan
80,Soole,2021,"₦51,006,700[39]",Lau Ellen Clara studio,Kayode Kasum
81,A Weekend To Forget,2023,"₦50,606,625",Inkblots Production / FilmOne Studios,Demola Ademola
82,93 Days,2016,"₦50,505,000[40]",Native FilmWorks / Michel Angelo Production / Bolanle Austen-Peters Production,Steve Gukas
83,Radio Voice,2025,"₦50,100,000",RMD Productions Limited,Isioma Osaje
84,Nneka The Pretty Serpent,2020,"₦50,051,510[41]",Play Entertainment Network,Tosin Igho[42][43]
85,Big Love,2023,"₦48,466,373",Inkblot Productions,Biodun Stephen
86,Omugwo,2017,"₦48,000,000[44]",Golden Effects / Africa Magic,Kunle Afolayan
87,Mokalik,2019,"₦46,929,446[20]",Golden Effects / Africa Magic,Kunle Afolayan
88,The Vendor,2018,"₦46,534,650[45]",Odunlade Adekola Film Production,Odunlade Adekola
89,Love in a Pandemic,2023,"₦46,479,700[46]",Bleeding Heart Productions / FilmOne,Akay Mason
90,Domitila: The Reboot,2023,"₦45,113,750",Zeb Ejiro Productions / Film Trybe / FilmOne,Zeb Ejiro
91,Hire A Man,2017,"₦45,000,000[44]",ChinneyLove Eze Productions,Desmond Elliot
92,Lagos Real Fake Life,2018,"₦44,194,075[47]",Swift Angel Production,Mike Ezuruonye
93,Dwindle,2021,"₦43,924,110[19]",Film One,Kayode Kasum
94,The Blood Covenant,2022,"₦43,122,100[48]",Inkblot Productions,Flyin Gambo
95,Devil In Agbada,2021,"₦42,583,250[49]",Chinney Love Eze productions,Umanu Elijah
96,Mamba's Diamond,2021,"₦42,187,005[23]",Williams Uchemba Productions,Seyi Babatope
97,Honey Money,2023,"₦41,659,950","VSL Media, Film One, Riverside Productions",Ekene Som Mekwunye
98,New Money,2018,"₦41,595,000[45]",Inkblot Productions,Tope Oshin
99,The Wild Flower,2022,"₦41,436,405[4]",VSL MEDIA,Biodun Stephen
100,American Driver,2017,"₦41,000,000[44]",Sneeze Films / Golden Icons Media / Get Known Productions,Moses Inwang
101,Lockdown,2021,"₦40,070,651[23]",CEM Media Group,Moses Inwang
102,Dear Affy,2020,"₦39,688,140[5]",Film One Entertainment,Samuel Olatunji
103,Who's The Boss,2020,"₦38,559,547[5]",Inkblot Productions and Accelerate TV,Chinaza Onuzu
104,God Calling,2018,"₦36,822,319[50]",Hearts in Motion Studios,BB Sasore
105,Hey You!,2022,"₦36,310,700[51]",Anthill Studios,Uyoyou Adia[52]
